country,model,2025_Moderate,2025_Prolonged,2025_Extreme,2026_Moderate,2026_Prolonged,2026_Extreme,2027_Moderate,2027_Prolonged,2027_Extreme
Bangladesh,Calibrated,-0.0758,-0.1517,-0.2275,-0.4434,-1.1786,-1.8788,-0.2975,-0.811,-1.4003
China,Calibrated,-0.0114,-0.0228,-0.0342,-0.0944,-0.2605,-0.4144,-0.0586,-0.1775,-0.3077
India,Calibrated,-0.0429,-0.0857,-0.1286,-0.3221,-0.8805,-1.4013,-0.2039,-0.6013,-1.0416
Indonesia,Calibrated,0.3158,0.6315,0.9473,1.7002,4.4691,7.1287,1.1659,3.0847,5.3192
Japan,Calibrated,-0.0546,-0.1091,-0.1637,-0.6515,-1.8453,-2.9308,-0.3803,-1.2484,-2.171
Malaysia,Calibrated,0.1155,0.231,0.3465,0.6481,1.7132,2.7319,0.4395,1.1807,2.0373
Pakistan,Calibrated,-0.0987,-0.1973,-0.296,-0.5605,-1.4841,-2.3663,-0.3789,-1.0223,-1.7644
Philippines,Calibrated,-0.173,-0.346,-0.519,-0.987,-2.6149,-4.1691,-0.6665,-1.8009,-3.1084
Singapore,Calibrated,-0.2834,-0.5667,-0.8501,-2.3241,-6.4057,-10.1896,-1.4454,-4.3649,-7.5678
South Korea,Calibrated,-0.0879,-0.1759,-0.2638,-0.7903,-2.1951,-3.4903,-0.4831,-1.4927,-2.5903
Thailand,Calibrated,-0.1133,-0.2267,-0.34,-0.6987,-1.8693,-2.9786,-0.4627,-1.284,-2.2186
Vietnam,Calibrated,0.0309,0.0619,0.0928,0.1384,0.3532,0.5644,0.1001,0.2458,0.4224
