date,baltic_dry_index
1990-01-01,1644.0
1990-02-01,1604.0
1990-03-01,1529.0
1990-04-01,1361.0
1990-05-01,1299.0
1990-06-01,1089.0
1990-07-01,1165.0
1990-08-01,1208.0
1990-09-01,1168.0
1990-10-01,1309.0
1990-11-01,1348.0
1990-12-01,1446.0
1991-01-01,1473.0
1991-02-01,1704.0
1991-03-01,1609.0
1991-04-01,1626.0
1991-05-01,1757.0
1991-06-01,1703.0
1991-07-01,1466.0
1991-08-01,1545.0
1991-09-01,1524.0
1991-10-01,1655.0
1991-11-01,1589.0
1991-12-01,1494.0
1992-01-01,1430.0
1992-02-01,1222.0
1992-03-01,1180.0
1992-04-01,1216.0
1992-05-01,1267.0
1992-06-01,1091.0
1992-07-01,1060.0
1992-08-01,1073.0
1992-09-01,1041.0
1992-10-01,1111.0
1992-11-01,1320.0
1992-12-01,1373.0
1993-01-01,1278.0
1993-02-01,1373.0
1993-03-01,1503.0
1993-04-01,1554.0
1993-05-01,1623.0
1993-06-01,1473.0
1993-07-01,1339.0
1993-08-01,1434.0
1993-09-01,1415.0
1993-10-01,1317.0
1993-11-01,1253.0
1993-12-01,1215.0
1994-01-01,1200.0
1994-02-01,1117.0
1994-03-01,1206.0
1994-04-01,1414.0
1994-05-01,1455.0
1994-06-01,1334.0
1994-07-01,1440.0
1994-08-01,1436.0
1994-09-01,1656.0
1994-10-01,1870.0
1994-11-01,1932.0
1994-12-01,1965.0
1995-01-01,1973.0
1995-02-01,2038.0
1995-03-01,2209.0
1995-04-01,2347.0
1995-05-01,2096.0
1995-06-01,1979.0
1995-07-01,2025.0
1995-08-01,2102.0
1995-09-01,1920.0
1995-10-01,1547.0
1995-11-01,1644.0
1995-12-01,1604.0
1996-01-01,1503.0
1996-02-01,1364.0
1996-03-01,1448.0
1996-04-01,1458.0
1996-05-01,1339.0
1996-06-01,1193.0
1996-07-01,1066.0
1996-08-01,1100.0
1996-09-01,1000.0
1996-10-01,1311.0
1996-11-01,1423.0
1996-12-01,1516.0
1997-01-01,1367.0
1997-02-01,1443.0
1997-03-01,1513.0
1997-04-01,1259.0
1997-05-01,1274.0
1997-06-01,1320.0
1997-07-01,1280.0
1997-08-01,1330.0
1997-09-01,1277.0
1997-10-01,1318.0
1997-11-01,1175.0
1997-12-01,1231.0
1998-01-01,1039.0
1998-02-01,1080.0
1998-03-01,966.0
1998-04-01,1004.0
1998-05-01,946.0
1998-06-01,856.0
1998-07-01,825.0
1998-08-01,817.0
1998-09-01,946.0
1998-10-01,955.0
1998-11-01,941.0
1998-12-01,791.0
1999-01-01,827.0
1999-02-01,964.0
1999-03-01,902.0
1999-04-01,1091.0
