country,year,gdp_growth,inflation,unemployment,remittance_pct_gdp,exchange_rate_usd,energy_imports_pct,brent_crude_usd,lng_price_usd,baltic_dry_index,gpr_global,gpr_threat,gpr_act,gpr_india,gpr_japan,gpr_korea,food_price_index,cereals_index,oils_index,fertilizer_price_index,fertilizer_consumption,hormuz_flow_mbd,reserve_days,oil_rents_pct_gdp,debt_gdp,oil_shock_signal,hormuz_disruption,oil_x_buffer,gpr_normalised,fertilizer_shock,conflict_dummy,oil_shock_signal_lag1,gpr_normalised_lag1,brent_crude_usd_lag1,inflation_lag1,hormuz_disruption_lag1,baltic_dry_index_lag1,trade_exposure_score,country_encoded
Bangladesh,1990,5.62225816160344,6.12671846981458,2.2,2.46489398309466,34.5688083333333,16.9252782610812,23.76,3.56,1347.5,121.2444,146.7482,87.4061,0.2428,0.3953,0.1399,63.32,58.08,45.47,119.62,98.7332910321489,14.81,6.0,0.0203201461879886,37.0,0.0,0.0,0.0,0.6312,-115.8375,1,,,,,,,19.3902,0
Bangladesh,1991,3.48522781598027,6.35736412278234,2.2,2.48523337346491,36.5961833333333,14.5675104082149,20.04,3.01,1595.42,149.4545,154.5212,153.3005,0.1691,0.3833,0.1849,62.35,57.86,49.01,120.38,107.021843367075,14.52,6.1,0.0113715162813764,37.0,-0.7071,-0.9887,-0.115918,1.5623,-124.2213,1,0.0,0.6312,23.76,6.12671846981458,0.0,1347.5,17.0527,0
Bangladesh,1992,5.44268554966725,3.63407691798491,2.233,2.87540936210898,38.9507583333333,14.0982820989522,19.32,2.9,1198.67,84.0163,99.6141,60.2127,0.132,0.1941,0.1274,64.23,60.96,52.99,122.51,116.013706586131,14.47,6.2,0.0140449207472924,37.0,-0.7218,-0.8904,-0.116419,-0.5977,-130.5851,0,-0.7071,1.5623,20.04,6.35736412278234,-0.9887,1595.42,16.9737,0
Bangladesh,1993,4.71156172453999,3.01481859989799,2.31,3.03732522639564,39.5672575,13.9538781603793,17.01,2.55,1398.08,101.6828,117.9802,77.4288,0.1385,0.249,0.2364,62.26,59.02,53.97,128.6,111.166588290618,14.29,6.3,0.0123153025022102,37.0,-1.0791,-1.601,-0.171286,-0.0145,-113.97,0,-0.7218,-0.5977,19.32,3.63407691798491,-0.8904,1198.67,16.9912,0
Bangladesh,1994,3.89012644116818,5.31374007936498,2.37,3.40813403881952,40.2117391666667,15.2850426526658,15.86,2.38,1502.08,99.0482,118.7165,71.1668,0.1561,0.2607,0.405,67.26,61.94,71.87,133.85,124.805780209324,14.2,6.4,0.0172049134880783,37.0,-1.0907,-1.7845,-0.170422,-0.1015,-117.1528,0,-1.0791,-0.0145,17.01,3.01481859989799,-1.601,1398.08,18.6932,0
Bangladesh,1995,5.12127789724337,10.2978117947206,2.441,3.16729631986545,40.2783183333333,15.2850426526658,17.02,2.55,1957.0,85.5373,88.9535,79.6046,0.149,0.2117,0.1281,76.83,70.85,79.96,138.84,142.194193241314,14.29,6.5,0.0131964705068302,37.0,-0.4731,-0.4459,-0.072785,-0.5475,-121.7793,0,-1.0907,-0.1015,15.86,5.31374007936498,-1.7845,1502.08,18.4523,0
Bangladesh,1996,4.52291921684423,2.37712902953223,2.51,2.89557515603607,41.7941683333333,15.2850426526658,20.64,3.1,1310.08,74.6745,73.2736,74.3767,0.1557,0.1605,0.1059,77.82,83.66,69.94,139.63,147.244824697858,14.57,6.6,0.0178010302921139,37.0,1.3684,1.4341,0.207333,-0.906,-124.1875,0,-0.4731,-0.5475,17.02,10.2978117947206,-0.4459,1957.0,18.1806,0
Bangladesh,1997,4.4898964976265,5.30560105668802,2.698,3.1641028158335,43.8921158333333,15.2850426526658,19.11,2.5,1315.58,50.9147,53.183,45.429,0.0719,0.1523,0.0947,70.76,66.51,70.68,142.08,132.205005959476,14.45,6.7,0.0173308738284211,37.0,0.6167,0.6267,0.092045,-1.6903,-106.1638,0,1.3684,-0.906,20.64,2.37712902953223,1.4341,1310.08,18.4491,0
Bangladesh,1998,5.1770268731498,8.40223795613228,2.893,3.2125653790456,46.9056516666666,15.2850426526658,12.76,2.09,930.5,68.4694,79.9645,52.6754,0.2905,0.1581,0.1229,64.82,58.9,83.89,141.38,138.455169150698,13.95,6.8,0.0080104572643324,37.0,-1.4207,-2.3929,-0.208926,-1.1108,-112.7804,0,0.6167,-1.6903,19.11,5.30560105668802,0.6267,1315.58,18.4976,0
Bangladesh,1999,4.67015636882111,6.10669589841958,3.088,3.52403766089633,49.0854,15.2850426526658,17.9,2.27,1086.75,73.978,78.924,67.8636,0.1999,0.1515,0.1683,55.38,53.12,58.23,142.76,161.889521100047,14.36,6.9,0.0179507388011089,37.0,0.1393,0.2513,0.020188,-0.929,-128.1866,0,-1.4207,-1.1108,12.76,8.40223795613228,-2.3929,930.5,18.8091,0
Bangladesh,2000,5.29329471892532,2.20825620937535,3.27,3.68659677566545,52.1416666666667,17.6509148650554,28.66,4.31,1615.25,57.4153,60.5228,53.0921,0.1961,0.1052,0.1463,53.66,51.42,42.89,144.14,158.10754491018,15.2,7.0,0.0353231482134216,37.0,1.5349,4.7842,0.219271,-1.4757,-121.5956,0,0.1393,-0.929,17.9,6.10669589841958,0.2513,1086.75,21.3375,0
Bangladesh,2001,5.07728777526728,2.0071737421384,3.609,3.89794627098135,55.8066666666667,21.1038949568699,24.46,3.96,1187.17,168.8292,107.9818,251.9475,0.3534,0.3307,0.1977,55.35,51.85,42.48,142.8,174.590268577623,14.87,7.1,0.0543710423247111,37.0,0.6322,2.0871,0.089042,2.2018,-138.1282,0,1.5349,-1.4757,28.66,2.20825620937535,4.7842,1615.25,25.0018,0
Bangladesh,2002,3.83312393993225,3.33256493271913,3.966,5.22266923917607,57.888,19.7062195987588,24.99,3.37,1181.75,156.0422,129.0182,198.7998,0.3968,0.3301,0.3346,53.43,55.58,55.14,144.01,188.639161517024,14.91,7.2,0.0837501114858241,37.0,0.5097,1.7192,0.070792,1.7798,-145.4807,0,0.6322,2.2018,24.46,2.0071737421384,2.0871,1187.17,24.9289,0
Bangladesh,2003,4.73956739963045,5.66870773441476,4.32,5.30538820275249,58.15004,19.9285740363967,28.85,5.49,2733.58,176.3016,167.5325,204.4774,0.2597,0.4845,0.6247,58.12,59.38,62.63,147.11,160.266893534273,15.21,7.3,0.0708422538942109,37.0,0.8731,2.0121,0.119603,2.4485,-115.4104,1,0.5097,1.7798,24.99,3.33256493271913,1.7192,1181.75,25.234,0
