scenario,country,year,gdp_forecast,baseline,deviation,method
Moderate,Bangladesh,2025,5.1362,5.7,-0.56,XGBoost_Constrained
Moderate,Bangladesh,2026,4.509,5.7,-1.19,XGBoost_Constrained
Moderate,Bangladesh,2027,4.6856,5.7,-1.01,XGBoost_Constrained
Moderate,India,2025,4.9499,7.76,-2.81,XGBoost_Constrained
Moderate,India,2026,4.9776,7.76,-2.78,XGBoost_Constrained
Moderate,India,2027,4.158,7.76,-3.6,XGBoost_Constrained
Moderate,Japan,2025,-1.9535,0.84,-2.79,XGBoost_Constrained
Moderate,Japan,2026,-0.936,0.84,-1.78,XGBoost_Constrained
Moderate,Japan,2027,-3.5928,0.84,-4.43,XGBoost_Constrained
Moderate,Pakistan,2025,4.6264,2.47,2.16,XGBoost_Constrained
Moderate,Pakistan,2026,3.8177,2.47,1.35,XGBoost_Constrained
Moderate,Pakistan,2027,4.1003,2.47,1.63,XGBoost_Constrained
Moderate,Singapore,2025,2.2605,3.44,-1.18,XGBoost_Constrained
Moderate,Singapore,2026,0.9221,3.44,-2.52,XGBoost_Constrained
Moderate,Singapore,2027,-1.4577,3.44,-4.9,XGBoost_Constrained
Moderate,South Korea,2025,2.7987,2.1,0.7,XGBoost_Constrained
Moderate,South Korea,2026,2.206,2.1,0.11,XGBoost_Constrained
Moderate,South Korea,2027,0.8632,2.1,-1.24,XGBoost_Constrained
Prolonged,Bangladesh,2025,4.912,5.7,-0.79,XGBoost_Constrained
Prolonged,Bangladesh,2026,4.509,5.7,-1.19,XGBoost_Constrained
Prolonged,Bangladesh,2027,4.1464,5.7,-1.55,XGBoost_Constrained
Prolonged,India,2025,4.7257,7.76,-3.03,XGBoost_Constrained
Prolonged,India,2026,4.6388,7.76,-3.12,XGBoost_Constrained
Prolonged,India,2027,3.992,7.76,-3.77,XGBoost_Constrained
Prolonged,Japan,2025,-2.0221,0.84,-2.86,XGBoost_Constrained
Prolonged,Japan,2026,-0.936,0.84,-1.78,XGBoost_Constrained
Prolonged,Japan,2027,-2.0001,0.84,-2.84,XGBoost_Constrained
Prolonged,Pakistan,2025,4.6264,2.47,2.16,XGBoost_Constrained
Prolonged,Pakistan,2026,1.5267,2.47,-0.94,XGBoost_Constrained
Prolonged,Pakistan,2027,4.0532,2.47,1.58,XGBoost_Constrained
Prolonged,Singapore,2025,2.2605,3.44,-1.18,XGBoost_Constrained
Prolonged,Singapore,2026,0.9221,3.44,-2.52,XGBoost_Constrained
Prolonged,Singapore,2027,-0.2904,3.44,-3.73,XGBoost_Constrained
Prolonged,South Korea,2025,2.7987,2.1,0.7,XGBoost_Constrained
Prolonged,South Korea,2026,2.206,2.1,0.11,XGBoost_Constrained
Prolonged,South Korea,2027,2.2042,2.1,0.1,XGBoost_Constrained
Extreme,Bangladesh,2025,4.912,5.7,-0.79,XGBoost_Constrained
Extreme,Bangladesh,2026,4.509,5.7,-1.19,XGBoost_Constrained
Extreme,Bangladesh,2027,3.5074,5.7,-2.19,XGBoost_Constrained
Extreme,India,2025,4.7257,7.76,-3.03,XGBoost_Constrained
Extreme,India,2026,4.4211,7.76,-3.34,XGBoost_Constrained
Extreme,India,2027,3.4531,7.76,-4.31,XGBoost_Constrained
Extreme,Japan,2025,-2.0221,0.84,-2.86,XGBoost_Constrained
Extreme,Japan,2026,-0.936,0.84,-1.78,XGBoost_Constrained
Extreme,Japan,2027,-2.0001,0.84,-2.84,XGBoost_Constrained
Extreme,Pakistan,2025,4.6264,2.47,2.16,XGBoost_Constrained
Extreme,Pakistan,2026,1.5267,2.47,-0.94,XGBoost_Constrained
Extreme,Pakistan,2027,1.01,2.47,-1.46,XGBoost_Constrained
Extreme,Singapore,2025,2.2605,3.44,-1.18,XGBoost_Constrained
Extreme,Singapore,2026,0.9033,3.44,-2.54,XGBoost_Constrained
Extreme,Singapore,2027,-0.2904,3.44,-3.73,XGBoost_Constrained
Extreme,South Korea,2025,2.7987,2.1,0.7,XGBoost_Constrained
Extreme,South Korea,2026,2.1727,2.1,0.07,XGBoost_Constrained
Extreme,South Korea,2027,2.2042,2.1,0.1,XGBoost_Constrained
