n_estimators,max_depth,learning_rate,subsample,reg_alpha,reg_lambda,val_rmse
300,3,0.05,1.0,0.1,2.0,1.2468
100,3,0.1,1.0,1.0,1.0,1.2518
100,3,0.1,1.0,0.1,1.0,1.2538
300,3,0.05,1.0,0.0,2.0,1.2592
200,3,0.05,1.0,1.0,1.0,1.2839
200,3,0.05,1.0,0.0,2.0,1.3064
300,3,0.05,1.0,1.0,1.0,1.3069
100,3,0.05,1.0,0.1,1.0,1.3117
200,3,0.1,1.0,0.1,1.0,1.3196
100,3,0.05,1.0,0.0,1.0,1.3236
300,3,0.1,1.0,0.1,1.0,1.3311
200,3,0.05,1.0,0.1,2.0,1.3314
100,3,0.1,1.0,0.0,2.0,1.3415
100,3,0.1,1.0,0.1,2.0,1.3436
200,3,0.1,1.0,1.0,1.0,1.3445
200,5,0.05,0.8,0.1,1.0,1.347
300,3,0.1,1.0,1.0,1.0,1.3491
300,5,0.05,0.8,0.1,1.0,1.3498
100,5,0.05,0.8,0.1,1.0,1.3512
100,3,0.05,1.0,1.0,1.0,1.3536
100,3,0.1,1.0,1.0,2.0,1.3583
200,3,0.05,1.0,0.0,1.0,1.3613
100,3,0.1,1.0,0.0,1.0,1.3638
200,3,0.05,1.0,0.1,1.0,1.3832
100,7,0.1,0.8,0.0,2.0,1.3952
300,3,0.05,1.0,0.1,1.0,1.4015
300,3,0.05,1.0,0.0,1.0,1.4019
200,7,0.1,0.8,0.0,2.0,1.4056
300,7,0.1,0.8,0.0,2.0,1.4068
100,5,0.05,0.8,1.0,1.0,1.4072
300,3,0.05,1.0,1.0,2.0,1.4089
200,5,0.05,0.8,1.0,1.0,1.4089
200,3,0.05,1.0,1.0,2.0,1.4091
200,3,0.1,1.0,1.0,2.0,1.4103
100,3,0.05,1.0,0.0,2.0,1.4106
200,3,0.1,1.0,0.1,2.0,1.4157
300,5,0.05,0.8,1.0,1.0,1.4239
200,3,0.1,1.0,0.0,2.0,1.4242
100,3,0.1,1.0,0.1,5.0,1.4259
100,3,0.05,0.8,0.0,1.0,1.4268
100,7,0.05,0.8,1.0,1.0,1.431
100,3,0.05,1.0,0.1,2.0,1.4317
300,7,0.05,0.8,0.1,2.0,1.4331
200,7,0.05,0.8,0.0,2.0,1.4331
200,3,0.05,0.8,0.0,1.0,1.4359
200,7,0.05,0.8,0.1,2.0,1.4369
100,5,0.1,0.8,1.0,5.0,1.4369
300,7,0.05,0.8,0.0,2.0,1.4371
300,7,0.05,0.8,0.0,5.0,1.4372
200,3,0.05,0.8,0.1,1.0,1.4378
300,3,0.1,1.0,1.0,2.0,1.4386
200,7,0.05,0.8,1.0,1.0,1.4421
200,3,0.05,1.0,1.0,5.0,1.4442
300,3,0.01,0.8,0.0,1.0,1.4469
300,7,0.05,0.8,1.0,1.0,1.4496
100,3,0.05,1.0,1.0,2.0,1.4501
100,3,0.05,0.8,1.0,5.0,1.4515
200,3,0.1,1.0,0.0,1.0,1.4522
300,3,0.05,0.8,0.0,1.0,1.4541
100,5,0.1,0.8,0.0,2.0,1.455
300,5,0.1,0.8,0.1,5.0,1.4551
100,5,0.05,0.8,0.0,1.0,1.4559
100,3,0.05,0.8,0.1,1.0,1.4566
300,5,0.01,0.8,0.0,1.0,1.4572
200,5,0.1,0.8,0.1,5.0,1.4582
200,5,0.05,0.8,0.0,1.0,1.4606
300,3,0.01,1.0,0.1,1.0,1.4623
100,3,0.05,0.8,1.0,1.0,1.4639
200,5,0.1,0.8,0.0,2.0,1.4648
300,3,0.01,1.0,1.0,1.0,1.4648
100,7,0.05,0.8,0.0,2.0,1.4656
300,3,0.05,0.8,0.1,1.0,1.4656
300,5,0.1,0.8,0.0,2.0,1.4658
300,5,0.05,0.8,0.0,1.0,1.4689
200,3,0.05,0.8,1.0,1.0,1.4689
100,7,0.05,0.8,0.1,2.0,1.4713
200,3,0.05,0.8,1.0,5.0,1.4737
100,5,0.1,1.0,1.0,5.0,1.4753
300,3,0.1,1.0,0.1,2.0,1.4757
300,3,0.01,1.0,0.0,1.0,1.4758
300,3,0.01,0.8,0.1,1.0,1.4764
300,5,0.05,0.8,1.0,5.0,1.4795
200,7,0.05,0.8,0.0,5.0,1.4798
300,3,0.05,0.8,1.0,1.0,1.483
300,3,0.1,1.0,0.0,2.0,1.4879
100,3,0.05,0.8,1.0,2.0,1.4895
300,5,0.01,0.8,0.1,1.0,1.4911
300,3,0.1,1.0,0.0,1.0,1.4911
300,3,0.05,1.0,0.0,5.0,1.4912
200,5,0.05,0.8,1.0,5.0,1.4932
300,7,0.05,0.8,0.1,5.0,1.4941
200,5,0.1,0.8,1.0,5.0,1.4945
100,7,0.05,0.8,0.0,1.0,1.4946
200,5,0.1,1.0,1.0,5.0,1.4963
