scenario,country,year,gdp_forecast,baseline,deviation,method
Moderate,Bangladesh,2025,5.0638,5.7,-0.64,XGBoost_WorldGDP_Control
Moderate,Bangladesh,2026,5.1082,5.7,-0.59,XGBoost_WorldGDP_Control
Moderate,Bangladesh,2027,5.5257,5.7,-0.17,XGBoost_WorldGDP_Control
Moderate,India,2025,4.8018,7.76,-2.96,XGBoost_WorldGDP_Control
Moderate,India,2026,5.2948,7.76,-2.47,XGBoost_WorldGDP_Control
Moderate,India,2027,5.2804,7.76,-2.48,XGBoost_WorldGDP_Control
Moderate,Japan,2025,0.5498,0.84,-0.29,XGBoost_WorldGDP_Control
Moderate,Japan,2026,0.4976,0.84,-0.34,XGBoost_WorldGDP_Control
Moderate,Japan,2027,1.0442,0.84,0.2,XGBoost_WorldGDP_Control
Moderate,Pakistan,2025,4.4854,2.47,2.02,XGBoost_WorldGDP_Control
Moderate,Pakistan,2026,4.1495,2.47,1.68,XGBoost_WorldGDP_Control
Moderate,Pakistan,2027,4.9788,2.47,2.51,XGBoost_WorldGDP_Control
Moderate,Singapore,2025,2.4735,3.44,-0.97,XGBoost_WorldGDP_Control
Moderate,Singapore,2026,2.534,3.44,-0.91,XGBoost_WorldGDP_Control
Moderate,Singapore,2027,3.0145,3.44,-0.43,XGBoost_WorldGDP_Control
Moderate,South Korea,2025,4.2213,2.1,2.12,XGBoost_WorldGDP_Control
Moderate,South Korea,2026,3.8677,2.1,1.77,XGBoost_WorldGDP_Control
Moderate,South Korea,2027,4.8156,2.1,2.72,XGBoost_WorldGDP_Control
Prolonged,Bangladesh,2025,5.0638,5.7,-0.64,XGBoost_WorldGDP_Control
Prolonged,Bangladesh,2026,4.8478,5.7,-0.85,XGBoost_WorldGDP_Control
Prolonged,Bangladesh,2027,4.6221,5.7,-1.08,XGBoost_WorldGDP_Control
Prolonged,India,2025,4.8018,7.76,-2.96,XGBoost_WorldGDP_Control
Prolonged,India,2026,4.9749,7.76,-2.79,XGBoost_WorldGDP_Control
Prolonged,India,2027,4.36,7.76,-3.4,XGBoost_WorldGDP_Control
Prolonged,Japan,2025,0.4291,0.84,-0.41,XGBoost_WorldGDP_Control
Prolonged,Japan,2026,0.0645,0.84,-0.78,XGBoost_WorldGDP_Control
Prolonged,Japan,2027,0.108,0.84,-0.73,XGBoost_WorldGDP_Control
Prolonged,Pakistan,2025,4.4854,2.47,2.02,XGBoost_WorldGDP_Control
Prolonged,Pakistan,2026,3.9839,2.47,1.51,XGBoost_WorldGDP_Control
Prolonged,Pakistan,2027,4.025,2.47,1.56,XGBoost_WorldGDP_Control
Prolonged,Singapore,2025,2.3528,3.44,-1.09,XGBoost_WorldGDP_Control
Prolonged,Singapore,2026,2.0975,3.44,-1.34,XGBoost_WorldGDP_Control
Prolonged,Singapore,2027,1.8415,3.44,-1.6,XGBoost_WorldGDP_Control
Prolonged,South Korea,2025,4.2213,2.1,2.12,XGBoost_WorldGDP_Control
Prolonged,South Korea,2026,3.7052,2.1,1.61,XGBoost_WorldGDP_Control
Prolonged,South Korea,2027,4.2213,2.1,2.12,XGBoost_WorldGDP_Control
Extreme,Bangladesh,2025,5.0638,5.7,-0.64,XGBoost_WorldGDP_Control
Extreme,Bangladesh,2026,4.6516,5.7,-1.05,XGBoost_WorldGDP_Control
Extreme,Bangladesh,2027,4.4419,5.7,-1.26,XGBoost_WorldGDP_Control
Extreme,India,2025,4.8018,7.76,-2.96,XGBoost_WorldGDP_Control
Extreme,India,2026,4.9664,7.76,-2.79,XGBoost_WorldGDP_Control
Extreme,India,2027,4.1722,7.76,-3.59,XGBoost_WorldGDP_Control
Extreme,Japan,2025,0.108,0.84,-0.73,XGBoost_WorldGDP_Control
Extreme,Japan,2026,0.0645,0.84,-0.78,XGBoost_WorldGDP_Control
Extreme,Japan,2027,-0.0907,0.84,-0.93,XGBoost_WorldGDP_Control
Extreme,Pakistan,2025,4.4854,2.47,2.02,XGBoost_WorldGDP_Control
Extreme,Pakistan,2026,3.926,2.47,1.46,XGBoost_WorldGDP_Control
Extreme,Pakistan,2027,3.8263,2.47,1.36,XGBoost_WorldGDP_Control
Extreme,Singapore,2025,2.0318,3.44,-1.41,XGBoost_WorldGDP_Control
Extreme,Singapore,2026,2.0975,3.44,-1.34,XGBoost_WorldGDP_Control
Extreme,Singapore,2027,0.6918,3.44,-2.75,XGBoost_WorldGDP_Control
Extreme,South Korea,2025,4.2213,2.1,2.12,XGBoost_WorldGDP_Control
Extreme,South Korea,2026,3.7052,2.1,1.61,XGBoost_WorldGDP_Control
Extreme,South Korea,2027,3.8359,2.1,1.74,XGBoost_WorldGDP_Control
